"","participant","nLL","kernel","acq","R2","kError","lambda","beta","tau","alpha","d","k","omega","ModelName","meanScore"
"38",8,192.08848747613,"kNN","GM",0.794722142004686,NA,NA,NA,0.0495622143250294,NA,NA,2,0.165884712324926,"kNN-GM",74.2099141664303
"39",8,278.844462151196,"Sticky","GM",0.702009242426014,NA,NA,NA,5.05611715357213,NA,NA,NA,29.1465989850101,"Sticky-GM",74.2099141664303
"40",8,217.270700188297,"dNN","GM",0.767810843191016,NA,NA,NA,0.0587652910443288,NA,2,NA,0.216142256056715,"dNN-GM",74.2099141664303
"41",9,413.551125314641,"DF","UCB",0.558053216558902,NA,NA,0.320962323953917,0.0311450176682282,0.308595018930141,NA,NA,0.0440770577615142,"DF-UCB",83.7871190952856
"42",9,325.460440593907,"kNN","GM",0.652192471370099,NA,NA,NA,0.0781009785786299,NA,NA,1,0.170582792655516,"kNN-GM",83.7871190952856
"43",9,324.149503297732,"dNN","GM",0.653593421544994,NA,NA,NA,0.0776272902981593,NA,1,NA,0.170582730668194,"dNN-GM",83.7871190952856
"44",9,321.720485476004,"BMT","UCB",0.656189223001022,5.61507667699381,NA,0.207130041795247,0.00767810255908117,NA,NA,NA,0.00679847199548567,"BMT-UCB",83.7871190952856
"45",9,468.808020242011,"Sticky","GM",0.499002217828058,NA,NA,NA,0.265010603128155,NA,NA,NA,1.256221085598,"Sticky-GM",83.7871190952856
"46",10,323.249302903763,"DF","UCB",0.654555432392538,NA,NA,0.221033210374241,0.0344226907637224,0.248331954626635,NA,NA,0.0765829359415705,"DF-UCB",77.6916506183031
"47",10,334.426341587624,"kNN","GM",0.64261094477696,NA,NA,NA,0.0802464734020817,NA,NA,2,0.21084646894055,"kNN-GM",77.6916506183031
"48",10,346.424232855219,"dNN","GM",0.629789242382232,NA,NA,NA,0.0806324831119221,NA,1,NA,0.205641817538927,"dNN-GM",77.6916506183031
"49",10,318.728568745873,"BMT","UCB",0.659386573689402,2.89061011818196,NA,0.101516702285353,0.0279809986245752,NA,NA,NA,0.057217612009169,"BMT-UCB",77.6916506183031
"50",10,433.19904424728,"Sticky","GM",0.537056212701193,NA,NA,NA,0.482628678574252,NA,NA,NA,2.4674561528411,"Sticky-GM",77.6916506183031
"51",11,304.778306690327,"DF","UCB",0.674294702494319,NA,NA,0.0522652401715758,0.0429445277861848,0.669932591079793,NA,NA,0.0855106837712236,"DF-UCB",73.6909721327173
"52",11,329.953401581884,"BMT","UCB",0.647391010232127,2.80906700385954,NA,0.0396659550718271,0.0285310668047366,NA,NA,NA,0.0563102403109435,"BMT-UCB",73.6909721327173
"53",11,305.813699507033,"kNN","GM",0.673188216507627,NA,NA,NA,0.0563491252405538,NA,NA,1,0.148893303848536,"kNN-GM",73.6909721327173
"54",11,435.114734991659,"Sticky","GM",0.535008984896161,NA,NA,NA,0.646313567620751,NA,NA,NA,3.16493713757346,"Sticky-GM",73.6909721327173
"55",11,305.81343488957,"dNN","GM",0.673188499294517,NA,NA,NA,0.0563488658920237,NA,1,NA,0.1488934844158,"dNN-GM",73.6909721327173
"56",12,293.69896956425,"kNN","GM",0.686134780070709,NA,NA,NA,0.0742573007858312,NA,NA,2,0.182945999516267,"kNN-GM",80.9170922854108
"57",12,296.501987241465,"DF","UCB",0.683139298809642,NA,NA,0.239479265775802,0.0372564687957383,0.261604516712486,NA,NA,0.0920815195699041,"DF-UCB",80.9170922854108
