"","participant","loo","nLL","tau","beta","lambda","errorVariance","alpha","d","k","gamma","omega","R2","acq","kernel","meanScore"
"1",1,1,27.4329644796848,0.00733852633150716,0.0148459096745579,NA,7.93381154277076,NA,NA,NA,NA,0.00674672553721032,0.967018831823563,"UCB","BMT",81.5310230508071
"2",1,2,30.9010417996728,0.00697145772976179,0.012546627213525,NA,8.71228675317859,NA,NA,NA,NA,0.00692562446774855,0.962849350197758,"UCB","BMT",81.5310230508071
"3",1,3,39.8472146356306,0.00806355645406524,0.00702852759275691,NA,8.17236913892799,NA,NA,NA,NA,0.00680267681948939,0.952093850876615,"UCB","BMT",81.5310230508071
"4",1,4,23.1849850638178,0.00706894188920651,0.00803287829422771,NA,8.84330269608001,NA,NA,NA,NA,0.00691440803962833,0.972125947521121,"UCB","BMT",81.5310230508071
"5",1,5,9.53435316780638,0.00742432116166135,0.00735370183133279,NA,8.47130437247938,NA,NA,NA,NA,0.00675708582909079,0.988537363305601,"UCB","BMT",81.5310230508071
"6",1,6,136.129065034721,0.00706084903933855,0.147102879512186,NA,6.41311736369395,NA,NA,NA,NA,0.00685655897157133,0.836339394127964,"UCB","BMT",81.5310230508071
"7",1,7,8.59419658156212,0.00715450164140966,0.0078625494081598,NA,8.69495688428852,NA,NA,NA,NA,0.00674757942217598,0.989667662676129,"UCB","BMT",81.5310230508071
"8",1,8,17.4600806132591,0.0073416500629737,0.00685623778283906,NA,8.62905544552926,NA,NA,NA,NA,0.00675081772771118,0.979008690238108,"UCB","BMT",81.5310230508071
"9",1,9,20.3662338632397,0.00754176060470104,0.00902765160521215,NA,8.34617044212776,NA,NA,NA,NA,0.00694440074422343,0.975514779503266,"UCB","BMT",81.5310230508071
"10",1,3,55.2215309155227,1.251530011464,NA,NA,NA,NA,NA,NA,NA,6.88149631091807,0.933610142664899,"GM","Sticky",81.5310230508071
"11",1,4,38.6643405851173,7.39011946029644,NA,NA,NA,NA,NA,NA,NA,39.971686327754,0.953515956315508,"GM","Sticky",81.5310230508071
"12",1,5,17.4525496695494,11.5540100219039,NA,NA,NA,NA,NA,NA,NA,61.18789060372,0.979017744284061,"GM","Sticky",81.5310230508071
"13",1,6,55.2215307859606,4.74614405555041,NA,NA,NA,NA,NA,NA,NA,26.096515714031,0.933610142820665,"GM","Sticky",81.5310230508071
"14",1,7,17.4525495294155,0.125403570574199,NA,NA,NA,NA,NA,NA,NA,0.664114017022988,0.979017744452536,"GM","Sticky",81.5310230508071
"15",1,8,27.939902817724,1.90597144249145,NA,NA,NA,NA,NA,NA,NA,10.1997031392599,0.966409367301625,"GM","Sticky",81.5310230508071
"16",1,9,33.2717930189173,10.0688070983909,NA,NA,NA,NA,NA,NA,NA,54.1691484928622,0.95999912434177,"GM","Sticky",81.5310230508071
"17",1,1,29.0790770265096,0.0679898518677075,NA,NA,NA,NA,1,NA,NA,0.186728585711723,0.965039799816855,"GM","dNN",81.5310230508071
"18",1,2,41.3118815755308,0.0637970441948134,NA,NA,NA,NA,1,NA,NA,0.172608608474725,0.950332961100991,"GM","dNN",81.5310230508071
"19",1,3,40.2050045923541,0.0752060552692812,NA,NA,NA,NA,1,NA,NA,0.217458769667897,0.951663699379744,"GM","dNN",81.5310230508071
