"participant","loo","k","tau","omega"
22,4,4,0.0714313600319601,0.16926166186839
22,3,1,0.0823244438122447,0.185753578029286
22,6,4,0.0809236077657676,0.187791960178779
22,7,4,0.0832746891357655,0.216480143035176
22,8,4,0.0855462710805061,0.211797211374807
22,9,4,0.0809257847461725,0.209166172008065
23,1,20,0.0503796704314126,0.210020920925606
23,2,18,0.0306034822118161,0.131203779659328
23,3,0,0.0456026995117044,0.0867529428954406
23,4,20,0.0441125560013705,0.165937929322208
23,5,20,0.0492156184381232,0.205934889051471
23,6,14,0.0500566427064768,0.207994472200322
23,7,0,0.0580417118012039,0.154795856263741
23,8,7,0.0542571567459738,0.214078537756505
23,9,7,0.0571789333997442,0.233704206365792
24,5,2,0.0584998110683374,0.162184563093132
24,1,2,0.061222295694311,0.154663421107626
24,2,2,0.058614478864331,0.166317680102641
24,3,2,0.0542052873799207,0.148275346799883
24,4,2,0.0512183756895778,0.140531717530642
24,6,2,0.057250804519994,0.165693348115005
24,7,2,0.0620350744585777,0.183459119458983
24,8,2,0.0622990864739928,0.171289788491097
24,9,2,0.0594217421932814,0.168562943913848
25,2,1,0.127509700330794,0.330684736990471
25,3,1,0.124155638853726,0.315989687546947
25,4,13,0.125044522737891,0.342313818403258
25,1,13,0.134217228490018,0.371392371953646
25,5,1,0.119712058603853,0.304518922161715
25,6,1,0.128708048715924,0.338343401255937
25,7,1,0.11917040973689,0.31595183284699
25,8,1,0.110340989272548,0.274912111800073
25,9,1,0.125260995220707,0.310357287186426
26,1,7,0.0786838814100212,0.19745911577724
26,2,7,0.0773787555207112,0.206696029445646
26,3,8,0.0733900342862528,0.186469000143928
26,4,7,0.0703709611994561,0.174586597767967
26,5,7,0.0765689319661867,0.1893766419522
26,6,7,0.0755892453682575,0.178711527140896
26,7,3,0.0813632625886398,0.197625985797368
26,8,3,0.0627221608442648,0.148512971218565
26,9,7,0.0796316264982498,0.203142849541037
27,1,1,0.0660436053250085,0.136838011396442
27,2,1,0.0623095115524678,0.114134633852862
27,3,1,0.0631975293797011,0.109452786893091
27,4,1,0.0657352171898766,0.129174590591019
27,5,1,0.0602211063089804,0.0991848234613574
27,6,1,0.0634136984319635,0.123183196363519
27,7,1,0.0483273531043078,0.0768925098793931
27,8,1,0.0606311433880514,0.10225683942527
27,9,1,0.0647710797392317,0.118312660938869
28,1,1,0.0522077203839639,0.182200180989872
28,2,0,0.051436857456181,0.125605623163226
28,3,1,0.0515781489343331,0.179468299205018
28,4,1,0.0517247695034931,0.180538368053108
28,5,1,0.0414418330183229,0.138913564607315
28,6,1,0.0549180805306703,0.199993701968276
28,7,1,0.0497449286084432,0.172702916626604
28,8,1,0.0523662052780226,0.179335776704584
28,9,1,0.0526589714442299,0.197499781243313
29,1,3,0.0835601578168887,0.21281107151924
29,2,3,0.0822813463154035,0.199138338965269
29,3,3,0.0774602755326814,0.180246182296323
29,4,3,0.0841970384191375,0.206499328406446
29,5,3,0.0797381025839513,0.190520337535577
29,6,3,0.0827429934734844,0.200265093107827
29,7,3,0.0740146551514567,0.177974442650689
29,8,3,0.0748078562812096,0.179644872261597
29,9,3,0.0826574153361402,0.2051921894753
30,1,2,0.0803744695639129,0.271344116332135
30,2,2,0.0789003139569671,0.261963757137619
30,3,2,0.0771193984935938,0.261502007701825
30,4,2,0.0832238991647082,0.279543101854753
30,5,2,0.083150487413154,0.281192875944429
30,6,1,0.0840464845954211,0.282957562357072
30,7,0,0.0793427306091792,0.214372527258432
30,8,2,0.0821169828136641,0.275409952216915
30,9,2,0.0834497983766971,0.283992660922164
31,1,0,0.11708189760178,0.273282625117987
31,3,0,0.112194965617464,0.264431937316449
31,4,0,0.116794564192581,0.281035608995701
31,5,0,0.114069205158883,0.286991487376693
31,2,0,0.111369337841764,0.262769689933556
31,8,0,0.109493338985535,0.261413298997529
31,9,0,0.110791322137336,0.265769542237575
31,6,0,0.116229559920835,0.283423281048738
31,7,0,0.11668260450898,0.277375285636486
32,1,3,0.0506042071987603,0.142588081845077
32,2,3,0.0530091320990536,0.156863297663549
32,3,2,0.0458325713183545,0.122504783922351
32,4,2,0.0534357219588385,0.141025512530877
32,6,3,0.0541864024117985,0.159653126376062
32,7,3,0.0556577515094584,0.170404888305667
32,8,3,0.0523983033019995,0.153828030574016
32,9,3,0.0461453391516218,0.120054153015235
32,5,3,0.0537840346831097,0.160957659217251
33,1,10,0.0995969455483971,0.258122723547614
33,2,19,0.0895836492391855,0.199084833306828
33,3,10,0.0841037362414139,0.209064807893561
33,4,1,0.095013330180135,0.205983272504112
33,6,10,0.101018390800939,0.245127709584797
33,7,19,0.0917053059669393,0.219463274639427
33,8,10,0.093783166788246,0.238978027931763
33,5,10,0.0898451475517445,0.192481286635873
33,9,10,0.0987599497322126,0.247930763298001
34,1,4,0.0905296293568817,0.208640827542847
34,2,5,0.0873500139822584,0.200410008129718
34,3,4,0.0856289628514909,0.182824822780585
34,4,4,0.0842226409563211,0.1977810864427
34,5,7,0.0807551220076846,0.207518790227666
34,7,4,0.088282363093942,0.207725055880848
34,8,5,0.08575605891678,0.20322912837919
34,6,4,0.0840709529200492,0.193775498335334
34,9,5,0.0884160321768924,0.210171516827685
35,1,3,0.0904114881882366,0.120535290135309
35,2,1,0.0913740045148654,0.0944153550148936
35,3,2,0.0889381607122849,0.0889209833880291
35,4,1,0.0876742523793651,0.0889712923722037
35,5,1,0.091427909718004,0.0937723168487452
35,6,1,0.0943963404559098,0.112930775019492
35,7,1,0.0890170888847318,0.0941076666282922
35,8,1,0.084815128544293,0.0817402672141778
35,9,1,0.0916039949178516,0.0974815944049862
36,1,1,0.0542021330426861,0.106113258961257
36,2,2,0.0576697909256534,0.113876319446809
36,3,2,0.0530526869745549,0.0988631225671575
36,4,1,0.0568568455275656,0.114676501188931
36,5,2,0.0521362993478385,0.109241760451026
36,6,2,0.0580401589215401,0.128770819340949
36,7,1,0.0546597317187856,0.106648735561593
36,8,1,0.0540401207044029,0.0997419298558866
36,9,1,0.0526978195055011,0.107398574962331
37,1,1,0.11033947526921,0.36705267819897
37,2,0,0.0961412589401949,0.321254568280897
37,3,0,0.0950386341111345,0.316490575334847
37,4,0,0.0942803636326414,0.305971764294904
37,5,0,0.100509633807594,0.328725074626336
37,6,0,0.0961712935678643,0.321371913514902
37,7,0,0.105508017171368,0.347674286623479
37,8,0,0.100674003482681,0.328270313482564
37,9,0,0.0847069046129707,0.230487113484253
38,1,3,0.077814006867227,0.241620115343346
38,2,1,0.0761458716890745,0.222749145150398
38,3,2,0.0766196708362634,0.235472852569691
38,4,3,0.0729349820093569,0.209875114764641
38,5,1,0.0795299767947009,0.243039855650444
38,6,3,0.0722454936047226,0.221612189897654
38,7,1,0.0768440140412506,0.224316898224057
38,8,3,0.0719666634411202,0.219453422250148
38,9,3,0.0706321861805007,0.210073857657927
39,1,3,0.0631513548330313,0.171198409213545
39,2,3,0.0697152604482188,0.19097050065287
39,3,3,0.0629756172936869,0.159174540260497
39,4,3,0.059092063591932,0.156900371269698
39,5,3,0.0665429156752214,0.187107821176254
39,6,3,0.0680442403881522,0.187611275823127
39,7,3,0.0632154743861598,0.158754682854555
39,8,4,0.05783241667548,0.15452988265267
39,9,3,0.0656618702636089,0.190817925216879
40,2,1,0.0977400904669108,0.188613330887961
40,3,1,0.0937824534284053,0.189278124747424
40,4,1,0.0986615251366746,0.195693788807746
40,1,1,0.0997201865127335,0.195951575548728
40,8,1,0.0950477267724714,0.181345937234244
40,5,1,0.0981485051229369,0.183692898900859
40,6,1,0.097101766991344,0.176849304368581
40,7,1,0.0988731518112889,0.189737075249769
40,9,1,0.102392948207191,0.200943139347942
41,1,1,0.0763913213410962,0.133374294801789
41,2,1,0.095992683674458,0.195975676964734
41,3,1,0.0830485140658058,0.171580639559406
41,4,1,0.095922149994394,0.195077277357035
41,5,1,0.0926277996554574,0.176683453054451
41,6,1,0.0903640459508114,0.177467330788685
41,7,1,0.0912532005962983,0.17136154281035
41,8,1,0.0929294326082807,0.189638385114171
41,9,1,0.0893467678186008,0.159629533303749
42,1,2,0.0259744774593108,0.042323929729212
42,2,2,0.0273313334112706,0.042225134784962
42,3,2,0.0255273064172892,0.0409804536332294
42,4,2,0.0259910836305295,0.0430248800126277
42,5,2,0.0154376807907307,0.0183356632230138
42,6,2,0.0134627490095225,0.00891449891159759
42,7,2,0.026022557952285,0.0415653882286727
42,8,2,0.0255670789999571,0.0410921154036989
42,9,2,0.0279661967065067,0.0444045220302644
43,1,2,0.134266042213651,0.415148199564611
43,2,2,0.133991536356374,0.418814053250835
43,3,2,0.129907469446421,0.433461696918336
43,7,2,0.137677145040787,0.44136787039207
43,4,2,0.134217781098481,0.446119733127073
43,5,2,0.13049450861122,0.438646219036905
43,6,2,0.131177402757642,0.44661647916202
43,8,2,0.128889403009561,0.422230947468313
43,9,6,0.137359625263273,0.471245961677522
44,1,2,0.0675125190912277,0.172238488219693
44,2,2,0.0803836817703564,0.228379850082052
44,3,2,0.0681965575459538,0.154443343078042
44,4,2,0.0734868397774306,0.185543176511572
44,5,1,0.0729829622821457,0.184297192706464
44,6,2,0.0802375117537154,0.20431850969779
44,7,2,0.0752426688478221,0.190926104532139
44,8,2,0.0731518466857817,0.18683677401805
44,9,2,0.0760748566633793,0.199697081835319
45,1,1,0.0518095546235323,0.0861908777312282
45,2,3,0.0751655416273234,0.22240363572101
45,3,1,0.0730287427919344,0.202474515939531
45,4,1,0.0737625322878196,0.218379909122968
45,5,1,0.0694307854036517,0.193214305568954
45,6,1,0.073297009070837,0.21460364241085
45,7,1,0.0742568661347383,0.211257789894285
45,8,2,0.0731358585970709,0.213017172505748
45,9,3,0.0740658687955509,0.220096007203578
47,1,2,0.0943907104156858,0.229313448895244
47,2,2,0.0783606397669812,0.182207178983765
47,3,2,0.0872589187237899,0.195419232358907
47,4,2,0.0899703606859378,0.210460447621484
47,5,2,0.0823615454680813,0.186973964235777
47,6,2,0.0859647627951576,0.194389066519053
47,7,2,0.0853871484384772,0.194691793413995
47,8,2,0.0883785457786118,0.200320086028578
47,9,1,0.0880842937806111,0.217979436920163
48,1,3,0.173765786912801,0.00673794700267528
48,2,3,0.180256226631563,0.00673794700206347
48,3,1,0.188315551516946,0.0067379469998587
48,4,3,0.188539037735024,0.00673794700470849
48,5,3,0.2076030496763,0.00673794700207561
48,6,3,0.205580501349106,0.00673794699919702
48,7,3,0.185863778299497,0.0067379470013187
48,8,3,0.224467467638604,0.00673794700059601
48,9,3,0.204768605714477,0.00673794700136091
49,1,1,0.0994166295948365,0.173931071217929
49,2,2,0.098749378200022,0.169296615656105
49,3,2,0.114227697545073,0.210127323054184
49,4,2,0.110184640249071,0.181029099047868
49,5,2,0.109985114885949,0.203403056250318
49,6,2,0.113488204607312,0.204358010626382
49,7,2,0.110107481420506,0.179865028835567
49,8,2,0.102273626927103,0.179239831110643
49,9,2,0.103277580992581,0.186507225883969
50,4,14,0.281649625210338,0.068528150919872
50,1,7,0.264904038664008,0.120716226555161
50,2,7,0.257866511845223,0.114762528594813
50,3,7,0.257235502936107,0.111740248383282
50,8,7,0.237446233756539,0.0797436292605999
50,5,7,0.239049479655938,0.089669918598322
50,6,7,0.232411752271891,0.0758572845723548
50,7,7,0.26751499733186,0.123273982431893
50,9,6,0.276789004330942,0.00673794699972802
51,1,3,0.0580815538538217,0.126989603780288
51,2,3,0.0551026932072355,0.11267476713678
51,3,3,0.0625605219598718,0.128220963800092
51,7,3,0.0577331266461009,0.112300093254999
51,8,1,0.0603337507454331,0.111490041186584
51,4,3,0.0585441861143847,0.119552417121917
51,5,2,0.0563180211553716,0.103137374840577
51,6,3,0.0581269100166332,0.116664418561323
51,9,2,0.0630592999933984,0.118966426081742
52,1,2,0.0885990534814875,0.205697227419604
52,4,2,0.0907891602868734,0.201167341562348
52,5,2,0.09339862110148,0.232093882007751
52,6,2,0.0831760586728,0.180664112468492
52,2,2,0.0867242535111452,0.194080735094598
52,3,2,0.0853605647063132,0.190435852911036
52,7,2,0.0825175105275232,0.176753403125953
52,8,2,0.0864132397318713,0.190904693391822
52,9,2,0.0797912989900584,0.180307162080459
53,1,2,0.0839415503609607,0.333718099740075
53,3,2,0.0829987436182232,0.310698617401096
53,4,0,0.0760061236786737,0.24486244344053
53,5,2,0.0846358760831748,0.318713580657924
53,2,0,0.0609687272629534,0.173831615789572
53,7,0,0.0720516666859485,0.188525341182643
53,8,0,0.0755536355998627,0.242252479601816
53,9,0,0.0750204428888718,0.245652026916624
53,6,17,0.0832372001181497,0.362946285417761
54,1,3,0.0923244747736099,0.187162933272393
54,2,2,0.0944516666596246,0.175684759454553
54,3,1,0.0856576995329302,0.159896430534512
54,4,1,0.090893775951018,0.158652528264397
54,5,1,0.0898835539865562,0.161004282018697
54,6,1,0.0859318526023114,0.146170048251246
54,7,1,0.0949397011839042,0.177992482056973
54,8,1,0.0908530112911598,0.155443806905842
54,9,1,0.0950540886681352,0.177384662581462
55,1,1,0.0646777657487433,0.105094478973776
55,2,1,0.0693088877168028,0.122990405196528
55,3,1,0.0661554604151966,0.114092776515243
55,4,1,0.0671855113000819,0.115388566772051
55,5,1,0.0662572846978612,0.0979831890902412
55,6,1,0.061679019486229,0.0914819323167911
55,7,1,0.0680165038239299,0.119612106441143
55,8,1,0.0645911460918971,0.104064517954591
55,9,1,0.0653715558043476,0.10643825937542
56,1,2,0.0895186442888168,0.259969119519873
56,2,2,0.0852587027667762,0.259315447088202
56,3,2,0.0893878553942037,0.290498587894506
56,4,1,0.0847050748887604,0.253409546723522
56,5,2,0.0866936395605056,0.262425352635159
56,6,2,0.0863295003253903,0.274419126468728
56,7,2,0.0868872074233778,0.275046073707636
56,8,2,0.0845028952926611,0.259627241782286
56,9,3,0.0894111426882226,0.287952481895667
57,1,20,0.131814224671948,0.520295095662288
57,2,1,0.160365596217813,0.640234527904855
57,3,20,0.121875551164289,0.478869838989235
57,4,1,0.163504392894532,0.663301045704933
57,5,25,0.135828420161812,0.525025288522509
57,6,1,0.128811847758733,0.498962135966251
57,7,1,0.0803410759934489,0.24577954354911
57,8,20,0.0942787445295293,0.323327374860473
57,9,20,0.127832845532966,0.501571649390987
58,1,2,0.0582438439930336,0.0848345118737098
58,2,2,0.0650724713438716,0.0959303150993681
58,3,2,0.0603134768441242,0.0838441751664633
58,4,1,0.0658242858760552,0.0881438998655581
58,5,2,0.0672017824041181,0.094917959143195
58,6,2,0.0661275806305825,0.103852988190173
58,7,2,0.0673446234138316,0.105077344657891
58,8,2,0.0671480771047612,0.100453587576525
58,9,2,0.0656470702441386,0.10125540496948
59,1,1,0.218834567190897,0.0481929290576546
59,2,2,0.220155506265898,0.0609863306836637
59,4,1,0.212806717050235,0.0766189497670086
59,5,1,0.222130061241966,0.0805206569743054
59,6,1,0.207928073883923,0.0323746230626528
59,3,2,0.223542219524693,0.0961769116572303
59,7,2,0.20825249922204,0.0259612802530372
59,8,1,0.241184796804109,0.0259486296944081
59,9,1,0.206063228998343,0.0326907560016011
60,1,8,0.109360126845916,0.358728336029195
60,2,2,0.112200382197017,0.339105515318517
60,3,2,0.111132619980837,0.306660548351301
60,4,2,0.0949538761600189,0.253168294780673
60,5,2,0.109561580765537,0.313003785146735
60,6,8,0.103882697457737,0.361398492529618
60,7,2,0.111805401201014,0.3105085941887
60,8,2,0.111531032324637,0.330881583417219
60,9,2,0.10949609427853,0.291625742070717
61,1,0,0.0774078783976963,0.148314658858928
61,2,16,0.0919310411337842,0.282243707928252
61,3,18,0.0953804553459142,0.297936859174361
61,4,18,0.0853475670723378,0.229662810043698
61,5,18,0.0846262873759322,0.259134583085856
61,6,5,0.0831046791121437,0.26135184892597
61,7,18,0.0983038783067812,0.317833617921233
61,8,18,0.0959185201287342,0.282122671674899
61,9,18,0.0858853792533218,0.273789615865233
62,1,6,0.103121371972885,0.223210203606034
62,3,1,0.119670957876547,0.232980645793931
62,4,6,0.132769916638179,0.305808221051502
62,5,2,0.125249565943604,0.262773715908483
62,2,2,0.125284339404866,0.282957044950246
62,9,1,0.127768398526495,0.269513643761827
62,6,6,0.13276926913651,0.307523942475314
62,7,1,0.130190002618943,0.276731391253962
62,8,1,0.122621453418241,0.248524596915069
63,1,2,0.17373169895009,0.506951980985336
63,2,5,0.180143199497574,0.54022517280365
63,3,2,0.170668935624235,0.494242566017221
63,4,4,0.144500298376031,0.384348052195958
63,5,5,0.179188106005764,0.46434888997117
63,6,24,0.187716047215056,0.449222226454318
63,7,2,0.17432410634985,0.485100526991438
63,8,2,0.177852455687708,0.47341405936197
63,9,2,0.185051263630596,0.523224822760573
64,1,1,0.0746026995324005,0.124174038480759
64,2,1,0.0882022858737934,0.222230758957377
64,3,1,0.0814891201861419,0.190715103488662
64,4,1,0.0839688765957447,0.204664011671841
64,5,1,0.0845528081569354,0.204512103040921
64,6,1,0.0866656656893112,0.209715723094789
64,7,1,0.0782814175492755,0.187981756858344
64,8,1,0.0826366302599185,0.195418862585074
64,9,1,0.0774785081925891,0.183213907783054
65,1,2,0.0911192978115133,0.210162510992911
65,2,2,0.0937036914430312,0.216528168240938
65,3,3,0.0977232890313018,0.231899497703516
65,4,2,0.0838191508509142,0.171687426522226
65,5,3,0.0913129032872677,0.216929816287991
65,6,3,0.0865437049285692,0.190485800677635
65,7,3,0.0890470221296982,0.205605277702618
65,8,3,0.0922266723905072,0.213006203226312
65,9,2,0.0867718981136475,0.194067987820523
66,1,3,0.0690914096297652,0.175210775295817
66,2,3,0.0711390024124679,0.169225305416622
66,3,3,0.0695232035892456,0.157539810860268
66,4,3,0.0675088984204707,0.167904479935581
66,5,3,0.0667254683176383,0.153367972991681
66,6,3,0.067865876720562,0.166243729180287
66,7,6,0.0750183288220813,0.186015555730392
66,8,3,0.0699748102993794,0.172325071580152
66,9,6,0.0692988867399965,0.16024327530708
68,1,4,0.0960046442718151,0.230275089172692
68,2,4,0.0988807262666378,0.238703702144419
68,3,4,0.101834031369273,0.239031231004216
68,4,4,0.0962727609234815,0.202029394715126
68,5,4,0.0876673636335619,0.214315660435728
68,6,4,0.10149519127579,0.25712747931986
68,7,3,0.0973281408365705,0.23391778722922
68,8,3,0.0971985698028675,0.241270480172761
68,9,4,0.100249652009026,0.269569836691449
71,1,2,0.103883637814632,0.234998791304935
71,4,2,0.108669507535238,0.240681891262636
71,2,2,0.0978937016162632,0.215921030690333
71,3,2,0.103818418780952,0.225286679421778
71,5,3,0.104298085157058,0.239803651148195
71,6,2,0.104705568031229,0.216591077128873
71,7,2,0.106949410038128,0.242862900492084
71,8,2,0.108637398230751,0.252861786399317
71,9,2,0.10547704757338,0.230516848614757
72,1,0,0.121657945296435,0.265163750352427
72,5,0,0.118982123417758,0.285454429698545
72,2,0,0.120358794908325,0.261651468799333
72,3,0,0.121132073325259,0.261696965145383
72,4,0,0.0956571553875186,0.164623684115212
72,6,0,0.118536637126299,0.263328665911471
72,7,0,0.11600859427416,0.250349030075448
72,8,0,0.118464387020562,0.258721723643623
72,9,0,0.121723118832223,0.262489217878117
73,5,0,0.0910975737650465,0.195518904054631
73,1,2,0.109987329239929,0.315337237814658
73,2,2,0.107480596573944,0.312143063266407
73,3,0,0.0975759943053917,0.210763131256708
73,4,0,0.0922157166484208,0.20052476833209
73,6,0,0.0848682443907368,0.175515958266291
73,7,2,0.107218018213917,0.306124428322995
73,8,2,0.105306823472005,0.30200648736887
73,9,0,0.09505017335223,0.217874671177501
