"participant","loo","d","tau","omega"
44,8,1,0.0736671439222204,0.18393477784978
44,7,1,0.0754784867981501,0.187103259896923
44,5,1,0.0729828906145603,0.184296944784601
44,6,1,0.080312242814589,0.199582990143183
44,4,1,0.0737401336908373,0.181130477068545
44,9,1,0.0764363639465195,0.196414855573551
45,1,1,0.0518094486723014,0.0861904700797555
45,2,1,0.0766065603119609,0.223243528589202
45,3,1,0.0730288074842316,0.202475981250097
45,4,1,0.0737624584179813,0.218379858120355
45,5,1,0.069430802279492,0.193214240377251
45,6,1,0.0732971294669096,0.214604672209249
45,7,1,0.0742567332583932,0.211257218250646
45,8,1,0.0737079477536652,0.212755618465869
45,9,1,0.0776041703654323,0.227437378239979
47,1,1,0.0953956001640998,0.232635265536098
47,2,1,0.0786142772979155,0.182775838605838
47,3,1,0.0877944244190721,0.196964514264813
47,4,1,0.0905784721002482,0.212425976476799
47,5,1,0.0829609990162536,0.18874852799829
47,6,1,0.0865089628694927,0.195954781928364
47,7,1,0.0859517689326459,0.196338197466892
47,8,1,0.0891662124852146,0.202976944917896
47,9,1,0.0880846757658313,0.217980135921742
48,1,2,0.176883551877707,0.00673794701512039
48,2,2,0.182807760631295,0.0067379470022034
48,3,1,0.188315444568452,0.00673794700031919
48,4,2,0.190273054253936,0.00673794700333572
48,5,2,0.211507465162797,0.00673794699944937
48,6,3,0.215708224073731,0.00673794700154761
48,7,2,0.190146836626158,0.00673794702094948
48,8,3,0.232154029135769,0.00673794700140182
48,9,2,0.209082008423909,0.00673794699920808
49,1,1,0.099415976676999,0.173930285385619
49,2,1,0.0995539680162883,0.169548786560775
49,3,1,0.11513580050234,0.210853298153413
49,4,1,0.110825121100601,0.180672632624845
49,5,1,0.11083756186348,0.20411064207342
49,6,1,0.114683159301365,0.20751297377967
49,7,1,0.110736991815693,0.179462834133455
49,8,1,0.103357077570742,0.180377568225656
49,9,1,0.103858873365211,0.186077664736767
50,1,2,0.247628834733051,0.115592624612106
50,2,2,0.243614024857656,0.108688825032184
50,3,3,0.257328837921675,0.11735572423493
50,4,4,0.276734309282727,0.0785393717620616
50,5,3,0.241184607909124,0.0956238679629649
50,6,2,0.218284114319623,0.0715785843915791
50,7,2,0.253006245365047,0.119627636631835
50,8,2,0.22472820034279,0.0771910748092225
50,9,2,0.262422025989852,0.00673794700110992
51,2,1,0.0632257910595619,0.119401981249558
51,1,1,0.0661044048296428,0.136556739101367
51,3,1,0.0672529783814529,0.128599839776061
51,4,1,0.0657630549693994,0.124289530172523
51,5,1,0.0591287055367753,0.10525373412719
51,6,1,0.0643099653634734,0.119806355510209
51,7,1,0.0646405128443666,0.118328477692099
51,8,1,0.0603337784167887,0.111490232043751
51,9,1,0.0650319198488865,0.119144381669693
52,1,1,0.0931244914670251,0.220739995406287
52,6,1,0.087891044050811,0.195747331313507
52,2,1,0.0888388586404782,0.200340319867214
52,3,1,0.0897327943539119,0.204311140915341
52,4,1,0.0948542151500805,0.213959742152764
52,5,1,0.0981903575209886,0.249337322788403
52,7,1,0.0869797696027844,0.190589984135924
52,8,1,0.0907337763489405,0.204465792122552
52,9,1,0.0823584543933646,0.187574145165705
53,4,20,0.0714350822463202,0.266675275641112
53,2,20,0.0550271689811769,0.192328948781479
53,3,19,0.0640027756888981,0.247793557992372
53,1,18,0.0646328094429305,0.2622197365589
53,5,18,0.0694596071722201,0.261256354181047
53,9,20,0.068009215078211,0.232753582998899
53,8,20,0.0702027681411651,0.262043923861133
53,6,20,0.0693503865467601,0.262819161150501
53,7,0,0.0720889802539806,0.188689709495035
54,1,1,0.0931748337490222,0.180569177798241
54,2,1,0.0945785036472439,0.174251229842857
54,3,1,0.0856576809824816,0.159897182815927
54,8,1,0.0908530055256054,0.155443691255194
54,6,1,0.0859318453555219,0.146169894563117
54,7,1,0.0949400165960139,0.177993867142416
54,5,1,0.0898835123686875,0.16100408213851
54,4,1,0.0908939009200321,0.158653115456183
54,9,1,0.0950541026494685,0.177384745937904
55,1,1,0.0646777083624129,0.105094060276485
55,2,1,0.0693089258246436,0.122990466949775
55,3,1,0.06615531473745,0.114092148510954
55,4,1,0.0671853514789776,0.115388192712541
55,5,1,0.0662572893705846,0.0979832951770727
55,6,1,0.0616789967169226,0.0914819021956465
55,7,1,0.0680164672199809,0.119611953036686
55,8,1,0.0645911439458932,0.104064571990735
55,9,1,0.0653714866515672,0.106437722634398
56,1,1,0.0902457106426064,0.260005495502703
56,2,1,0.086068325219274,0.260455418780566
56,3,1,0.0903527412259165,0.29258568018235
56,4,1,0.0847059238084774,0.253414034100113
56,5,1,0.0874172624740531,0.263241724281057
56,6,1,0.0875005519156518,0.278040588931797
56,7,1,0.0879599634210845,0.278848466921955
56,8,1,0.0854838144894872,0.261422242637848
56,9,1,0.0893951211138743,0.277062204224805
57,1,20,0.0708656609059284,0.224518121525374
57,2,20,0.0782109081170783,0.249563842059587
57,3,20,0.0662952345405883,0.21336869922619
57,4,20,0.0763188263139486,0.246549490067707
57,5,20,0.0747583830672334,0.232651348638912
57,6,19,0.0680709033943179,0.213222353078981
57,7,1,0.0803154826718773,0.244952156705319
57,8,20,0.0722042760151823,0.227210529134619
57,9,20,0.0691586474385669,0.222985361753103
58,1,1,0.060191812801593,0.0879494996243022
58,2,1,0.0675260602150103,0.100235256189855
58,3,1,0.0628640928094283,0.0886005169009434
58,4,1,0.0658243048751495,0.088143941295713
58,5,2,0.0672268988131249,0.101670465753423
58,6,1,0.0679573256648083,0.106722901825587
58,7,2,0.067497288167382,0.113613705770023
58,8,1,0.0696424681725108,0.105409501341891
58,9,1,0.0682609796843472,0.106038599968528
59,1,2,0.228820009819096,0.062298421577971
59,2,1,0.219415245327883,0.0601090669761174
59,3,1,0.222991771961175,0.0958215313444729
59,4,2,0.223074462243388,0.0930293469626536
59,5,1,0.222130056892629,0.0805206255800377
59,6,1,0.207928069006254,0.032374608091656
59,7,2,0.214647531575501,0.0391442463890092
59,8,2,0.252935097904566,0.0374652162402343
59,9,1,0.206063225097017,0.0326907771592415
60,4,1,0.0958521669243009,0.248605554505088
60,3,1,0.111508328507701,0.301125106780627
60,1,1,0.117059616560416,0.335246985308489
60,2,1,0.112557338963861,0.333857065110434
60,8,1,0.11236546420288,0.327239456774634
60,5,1,0.110252190421658,0.308652427382559
60,6,1,0.112045805832437,0.322553117266906
60,7,1,0.112201003521182,0.304919478286328
60,9,1,0.111530692839702,0.299537295575241
61,1,0,0.0775145322810363,0.148643595882804
61,2,3,0.0930386616182866,0.291615172485562
61,3,0,0.0815877257384716,0.148207891618734
61,8,11,0.0915241204793504,0.244286837128243
61,4,3,0.0930563867253113,0.286328857196364
61,5,3,0.0877373280163371,0.274515484275029
61,6,0,0.0680503412922286,0.102742271237112
61,7,11,0.0842790273818567,0.251625592628081
61,9,3,0.0919578804369846,0.307717869997801
62,1,1,0.102691832177288,0.196915224948125
62,2,1,0.126137821042848,0.283607976388006
62,3,1,0.119670947991573,0.232980527166337
62,7,1,0.130190060547675,0.276731879601322
62,4,2,0.135040409291209,0.305188027855732
62,5,1,0.126207532692347,0.263997972628554
62,6,2,0.134451912976461,0.305667089943286
62,8,1,0.122621857218337,0.248525835940585
62,9,1,0.12776855866937,0.269514517459938
63,1,2,0.181999086619587,0.545999673876075
63,2,2,0.176982949821258,0.52759578351555
63,3,1,0.169046266330981,0.483218961867734
63,7,1,0.175943668213305,0.487300280970382
63,5,2,0.176575325119822,0.456750885050337
63,4,2,0.142907832887229,0.378263687744584
63,9,2,0.193160530058254,0.560483812114579
63,6,2,0.19163652390816,0.493793223898966
63,8,2,0.182564721301997,0.499456931611371
64,1,1,0.074602740068398,0.124174144453375
64,2,1,0.0882021893503045,0.222230813555751
64,3,1,0.0814890502061635,0.190714517451254
64,4,1,0.0839688816485944,0.204664021615315
64,5,1,0.0845388767963944,0.204457587777256
64,6,1,0.086665875628777,0.209716581782961
64,7,1,0.0782813158831003,0.187982304879986
64,8,1,0.0826366377980215,0.195420326791708
64,9,1,0.0774785316582031,0.183213504236156
65,1,1,0.0936082229224653,0.218470377141128
65,2,1,0.0956203731711823,0.223631179340375
65,3,2,0.100410384322516,0.242644458896556
65,4,1,0.08669594155488,0.18257322911996
65,5,1,0.0923970929048104,0.216776867728025
65,6,1,0.0886212397541753,0.194872720450568
65,7,1,0.0860023306848359,0.193969982750914
65,8,2,0.0967130300752216,0.23182529038283
65,9,2,0.0885331750613163,0.211999152334082
66,1,2,0.0774487499921461,0.207363932624379
66,2,4,0.0732404799689636,0.187496295945882
66,3,2,0.075993642099746,0.183482819738591
66,4,2,0.0741934344052164,0.192948622963449
66,5,4,0.0697789181383306,0.17581402172372
66,6,2,0.074227134789334,0.190394330574547
66,7,2,0.0765857755555777,0.196186382632635
66,8,2,0.0746563538418821,0.187934501655422
66,9,4,0.0692217794232313,0.168784108642115
68,1,2,0.098314068883938,0.235532869541644
68,2,2,0.10106879026481,0.244650566994926
68,3,2,0.104950210551622,0.251002645956493
68,4,2,0.0978672071379461,0.20533205484019
68,5,2,0.0886787021311503,0.216227713443728
68,6,2,0.104156831023587,0.264878764434785
68,7,2,0.101373337234026,0.251292650008145
68,8,2,0.10194766825329,0.261692164220426
68,9,1,0.096295837520192,0.239175733308036
71,1,1,0.105813173733004,0.241124623144437
71,2,1,0.0998591222755964,0.221847500520627
71,3,1,0.103698179628493,0.22436088047847
71,4,1,0.109184102965356,0.241926620913347
71,5,1,0.110024793680982,0.259739786699358
71,6,1,0.106424779965052,0.221463228257754
71,7,1,0.108959626659768,0.249641220083229
71,8,1,0.110520390442156,0.258871841617094
71,9,1,0.107247317896434,0.235605713948647
72,1,0,0.1213118067723,0.263496906057008
72,2,0,0.120541333941501,0.262652123960763
72,3,0,0.121158919280976,0.262363036809285
72,4,0,0.0956308814135566,0.164437619128949
72,5,20,0.106557116691854,0.298204831815757
72,6,20,0.105769337342342,0.276272064372219
72,7,0,0.116609642862585,0.254131781325705
72,8,0,0.118022733605815,0.25654293029345
72,9,20,0.114935084829507,0.285615897852791
73,3,0,0.097573729353675,0.210748399916122
73,1,0,0.0969311513377264,0.206889987982793
73,2,0,0.0949162995765476,0.213020459779899
73,6,0,0.0848680299724576,0.175512918971569
73,4,0,0.0922156089799706,0.20052497646919
73,5,0,0.0910983944050433,0.195523222778505
73,7,0,0.0950076800127732,0.212248192545416
73,8,0,0.0933507547250907,0.202643717208005
73,9,0,0.0950511630301068,0.217879659958668
