"participant","loo","errorVariance","beta","tau","omega"
15,8,0.00829856226944988,0.172522731741618,0.00674256941800649,0.0125230015471825
15,3,0.00755605866646986,0.18718819142132,0.00698236277508145,0.0254277377151902
15,4,0.00747901974626125,0.187626801750895,0.0071235489867733,0.027765267229087
15,5,0.00693214067130972,0.187532044949789,0.00682601883867541,0.0253356427725184
15,6,0.00967080374089871,0.182785451751989,0.00982787806702462,0.0353548584889002
15,7,4.64013036148529,0.258826426884225,0.0068076052242142,0.00840410431640386
16,8,8.67611708319546,0.0726562593700888,0.00693285217788753,0.00674622735387578
16,9,8.16378031589126,0.0653741649370738,0.0076722448193638,0.00675932747048515
16,6,8.49543628596157,0.0540290692754904,0.00749571429845,0.00674422169702117
16,1,6.483158930205,0.0841678613366047,0.00811071184938039,0.006784968191061
16,2,8.46573731425769,0.0605595334385292,0.00722023187050494,0.00675689067457073
16,3,8.45524799761777,0.0922796719499455,0.00680074717485799,0.00683785578582765
16,4,8.23235163060744,0.0709820556020095,0.00723444702198245,0.00675445583131527
16,5,8.42360214007354,0.0788063690417119,0.00707960229157478,0.00684660679462269
16,7,8.5052538509069,0.0674987978010902,0.00682674618957105,0.00698378702506633
17,9,1.87434007744747,0.0103661316873168,0.0789940201891202,0.180940349909092
17,8,2.07573211729665,0.0287919761068734,0.0735668395618507,0.176052207378033
17,1,2.56589246014175,0.0234606122060598,0.0633983392480165,0.138084360374718
17,2,2.72793310926789,0.0114793254185502,0.0634412733530526,0.144118972501849
17,3,2.68790745184806,0.0214601662041002,0.0656900684765055,0.152940795386292
17,4,2.65293000519966,0.00691597590949485,0.0686953714945109,0.150238148139763
17,5,2.18338311948676,0.0267670464414597,0.0672537595435453,0.158093492171476
17,6,2.4836568569902,0.0133018475426602,0.0703175098742932,0.161397531769716
17,7,2.44395249932768,0.0261790998392338,0.0631930960611239,0.146169371142149
18,1,6.8096268001309,0.0128102097742438,0.00674615956698694,0.00723897901209355
18,5,7.32169103782053,0.0215669404345623,0.00675487529629209,0.00919706793601497
18,2,7.12937730375671,0.0202834426717858,0.00675773684759554,0.00983608690883043
18,3,7.27544025341602,0.0230635778505327,0.00677887747165402,0.00954522265323129
18,4,7.34801067315991,0.0196888745656976,0.00691558794913657,0.00923592956271117
18,9,7.4512596962703,0.0203777470438487,0.00675713117061003,0.00874988073606231
18,6,7.26150971510373,0.0243216036985332,0.00676158500881392,0.0086854453948848
18,7,7.38076017328412,0.0203537464051114,0.0067531260509354,0.00903649667558353
18,8,0.00875306430996035,0.140982996345128,0.00675677399404112,0.0848979714826619
19,3,6.80503771770825,0.00690983689832982,0.00675620822571266,0.00789803157048094
19,4,7.31367711646179,0.00689530915405367,0.00686063896338448,0.00953139775893007
19,5,7.4974968978719,0.00716631847592871,0.00697599827406663,0.00918202611156764
19,6,7.47624466292193,0.00779291397926987,0.00679412205877338,0.0108139230895609
19,2,6.59016873231386,0.00921889277725476,0.00675792766379484,0.0121092015829491
19,1,7.39778437410026,0.00708240830130227,0.00680805308806349,0.00953987378225664
19,7,7.31296249994772,0.00702842620106983,0.0067507313533147,0.00911932864499231
19,8,7.54040197459239,0.00675897521685169,0.00678563892174275,0.0100998420245426
19,9,7.3561381169373,0.00691023212358452,0.0067397979036998,0.00787536164873065
20,3,3.66987891193274,0.138051504308108,0.0258742161852333,0.0272625956020984
20,4,3.61562865905223,0.18781578439247,0.0189000216184743,0.0179597255374395
20,5,4.63020808070462,0.15816141355755,0.0175671923271722,0.0189168691478105
20,2,3.41032101976481,0.141483189276817,0.0264597464324113,0.0277314257754016
20,6,3.63981689616798,0.145291926095692,0.0247893411198579,0.0307749985230694
20,7,4.64977370385477,0.162063474436518,0.0165620711642962,0.0167094207619651
20,8,0.00676215817539423,0.125144471364789,0.0400147174572894,0.0966020080467871
20,9,3.58900645045486,0.142131154427481,0.0256344918182876,0.0295178129062258
20,1,7.23505014769689,0.197606128141332,0.00726031307797481,0.00949125568609578
22,1,7.81785397556543,0.0918516010029921,0.00700227509956891,0.00921565010194609
22,2,8.39550789760687,0.0844005788614708,0.00676073006812229,0.00735811635583011
22,4,7.08992779706229,0.123928337543039,0.00744752409050063,0.00835415740391951
22,5,8.22113056424868,0.08978638428452,0.00679420592250339,0.00765587048880957
22,6,8.1900437501864,0.0922411201862944,0.00675447234775568,0.00871277889107118
22,3,8.00338368179415,0.0893897451608227,0.00674338130557681,0.00782176302050109
22,7,8.10812081974984,0.0833509497838713,0.00682649285789441,0.00744506895320636
22,8,8.27241896646746,0.0905178240960184,0.00680242722727277,0.00846605489760911
22,9,8.50514709133494,0.0812246638389965,0.00691966022636956,0.00858043573970539
23,2,4.76264253756389,0.0986949115688997,0.00818914844473638,0.0144890992912564
23,3,3.74338079591334,0.0927737301524319,0.00807545722594178,0.0074424866161731
23,4,4.52892504023509,0.0970286705466157,0.00783524611172312,0.0103388092250023
23,5,4.74829303437683,0.102637606464656,0.00696231370090615,0.0096415356124405
23,1,5.78422792992003,0.0629463551369975,0.00694967639869196,0.00674319230300826
23,6,4.91227907327721,0.100648579578662,0.00689776466931264,0.00967785478727798
23,7,4.72301102506771,0.0985581828230105,0.0080984812468998,0.013678735898974
23,8,4.77879117080852,0.102690099428409,0.00708544716889372,0.0108976805372592
23,9,4.69108413912369,0.109337731183115,0.00679318392205671,0.00735295813895817
24,2,10.3971159245287,0.00675618729054481,0.00673907521136174,0.0129179024660715
24,3,10.2946132304789,0.00683966327865718,0.00675054446511177,0.0130458081345587
24,4,10.1227433367147,0.00691297897981591,0.00688865064079065,0.0136454562799739
24,5,10.3352576811833,0.00683719655864455,0.00677261025413064,0.0130550209277319
24,6,8.61321922473273,0.00676911416520771,0.00697374086991288,0.0106962491153793
24,7,10.4266350113889,0.00677113759942065,0.00676408009599699,0.0135174855906274
24,8,10.9875669173866,0.00674217352507484,0.00678949249129027,0.0138043302233774
24,9,10.6668557460506,0.00682870835000088,0.00675460270913003,0.0138597884151186
24,1,10.4510638789018,0.00704178210909293,0.00678989668670458,0.00895826888392941
25,1,4.29903934160788,0.143988896778281,0.0263096631968183,0.0511792446541715
25,2,5.89766310008311,0.0804087795802055,0.0182288904677335,0.0316309248773558
25,3,3.93110269656818,0.0598084991096733,0.0369527310690725,0.064897261984096
25,4,3.93553509452442,0.0530719825363535,0.0373150503490433,0.0646503882449899
25,5,4.00238313905668,0.0588560029127545,0.0358995012079446,0.0661180934834164
25,6,4.18878943089777,0.0702375606570869,0.032835479101344,0.0525629647080821
25,7,3.27831318284887,0.0493767649904665,0.0414741226432761,0.0728764238130891
25,8,3.55800472593015,0.054293753491725,0.0394212533665661,0.0694031721869338
25,9,4.02124842529552,0.064824942773275,0.035243906863166,0.063625409862867
26,2,8.09869880940946,0.0796079731186009,0.00678264954402157,0.00683235722778608
26,3,8.13483389192134,0.0798240054078687,0.00675550760145342,0.00677884304613156
26,1,7.04809190065619,0.144317822753256,0.00685616912934462,0.00681798030596678
26,9,7.93422901747454,0.0920401207376702,0.00700311783971235,0.00675560063710558
26,4,8.37348160902596,0.070244383983343,0.0071568841001825,0.00692524870153768
26,5,8.43840455696689,0.07180769257538,0.00694716342849992,0.00696231588406306
26,6,8.86822938252252,0.0714506048798856,0.00676354267202858,0.0068919309532556
26,7,8.10332767392963,0.0721454226795615,0.0074963087043421,0.00699326491588349
26,8,8.46331882806909,0.0659569330117938,0.00697054946221703,0.00681109884966118
27,9,4.19889017563425,0.00681805996375851,0.034707425943765,0.0492123149819803
27,2,5.24131761633993,0.00701327118338355,0.0242881239458226,0.0306267079845582
27,3,3.80952327602767,0.00689774336020535,0.0381553180142012,0.0513876265569847
27,1,5.40658594891417,0.00678730298343607,0.0237513845341469,0.029759695393424
27,4,4.36383802240557,0.00705679241365082,0.030400461761364,0.0397413577041601
27,5,4.57519547829289,0.00685187113078707,0.0307031138870375,0.0401181554987054
27,6,4.74783401121423,0.00681342634804862,0.03036523121357,0.0459287075334154
27,7,3.44914748199946,0.00685292644012694,0.0363450247847097,0.0431073453612542
27,8,3.49196737859047,0.0074463659993362,0.0409930176426965,0.0489625335147372
28,9,0.0112651435116925,0.0896193918332925,0.00693234014673575,0.0366518292665884
28,2,4.9234588633916,0.0833215961084234,0.00703550575764594,0.00818783456815914
28,1,4.54885354122575,0.096722919764119,0.00715077716827577,0.0078188952046644
28,6,4.62516039039037,0.0984268466533839,0.00710066994519096,0.00752147598165962
28,3,4.58086510777765,0.0968510034384831,0.00679657205952981,0.00694438673864514
28,4,4.69724215158213,0.0965871435587954,0.00679613514143169,0.00767287890282008
28,5,4.17731583789099,0.120426313697467,0.0067639612285997,0.00689308222782383
28,7,4.72311227556028,0.0933261874360917,0.00673918310367077,0.0069012195492868
28,8,4.72304769689908,0.0951599114984673,0.00685976106628206,0.0068308255783006
29,2,10.0369190756171,0.11865144284051,0.00674116654078479,0.00965280674191695
29,1,9.71735482369547,0.138750749643729,0.00675194455533567,0.010979854916122
29,6,7.69767587876578,0.137196005726954,0.00673917000369704,0.00682776655571542
29,3,9.95721992768826,0.108978762952804,0.00706142743109829,0.00950456426368917
29,4,10.3768624056115,0.116451366598875,0.00694588174555329,0.0116943983257729
29,5,9.85644336390577,0.120150907433912,0.00674694792965358,0.00926956433714459
29,8,10.1912276186579,0.110376707615106,0.00681079606000545,0.00845383844178918
29,9,9.80255798007024,0.114195083666117,0.00693277212282674,0.00987647353447579
29,7,10.1109589982756,0.105147925324408,0.00697149741493957,0.0095793807800062
30,1,7.19345303930705,0.0280578090738593,0.00683741595957461,0.00726583348245821
30,3,7.24448816039072,0.0164386739622313,0.00732601414202769,0.00676259405239641
30,4,7.59691374850157,0.0261160375122651,0.00674114072829753,0.00678843302507756
30,5,7.55442209311118,0.0279472484675631,0.00681355864949571,0.00676232897136288
30,2,7.58374946527116,0.02404041384589,0.00679179450550738,0.00681281506952669
30,6,7.40523025570121,0.0282206519706704,0.00685409919246172,0.00715501293276985
30,7,5.66941475994712,0.113294696445078,0.00689465413704593,0.00934898086834148
30,8,7.50235172803855,0.0264173032746038,0.00677441248552648,0.00681354433589421
30,9,7.56194620533058,0.0220203326616721,0.00693240166894745,0.00681207409015723
31,3,4.25373517590075,0.216388078403066,0.0134928450265909,0.0277282406313534
31,4,5.56430110844452,0.239587601239766,0.0086491082197286,0.0190281886585287
31,5,5.16683901680411,0.230851356649083,0.0114041324698161,0.0269075185161218
31,1,4.61453364982973,0.23306694778227,0.0120947734871876,0.0222692161880091
31,2,4.70837072746843,0.224088306941368,0.0127603018530205,0.0281420537129789
31,8,5.49484059192052,0.244639943490079,0.00694790921694399,0.0147155816174772
31,9,6.59540035257711,0.253920076158612,0.00693429398546899,0.0152526560443843
31,6,5.91339259790063,0.243787804171331,0.00874342915258361,0.0218215835596857
31,7,5.25363335855102,0.226220288919297,0.0113466493925978,0.0243993809945342
32,1,7.35803587243413,0.0082334241729052,0.00986695578447091,0.013556288018462
32,2,6.94720373396301,0.0139256931439565,0.00983710238220474,0.0136479418775302
32,3,7.6836403725743,0.0105749439682415,0.0093517871394432,0.0130691870412298
32,4,7.11150705164064,0.0311077036050841,0.00907465215880428,0.00905079211503803
32,5,8.99234225632613,0.00724511637955837,0.00674521965660286,0.00697918845506256
32,6,7.56338676841137,0.00745566639374964,0.00965503093000589,0.01325662654695
32,8,8.00980320143579,0.0171392934282277,0.00821442095325101,0.0122017775739298
32,9,6.81114075467505,0.0105888647153637,0.0101877157706312,0.0130031782720023
32,7,8.07693381772442,0.013022303718598,0.00855919206538113,0.014215665304428
33,8,7.21717061212557,0.171099496312887,0.0067581847525988,0.00745900459933413
33,9,7.39584491633777,0.172761200050941,0.00692660854623892,0.00762632592421816
33,1,7.09080193285304,0.170060491682833,0.0072027491976519,0.00749143340966618
33,2,7.45395815487294,0.161967802285873,0.00696146410304688,0.0073414943095932
33,3,7.15808868267447,0.187146986286601,0.0067446262385023,0.00719700801988307
33,4,7.47810770229124,0.155321684326683,0.00703112235833984,0.00674997553781602
33,5,7.70872573890825,0.166508198281897,0.00678506526158255,0.00746428112254058
33,6,7.94602291793824,0.154698762733838,0.0069110961422833,0.00715736197560086
33,7,7.49069473002777,0.16928135615123,0.0067864710388761,0.00841582384582245
34,1,9.59501432987811,0.101002390711492,0.00786478466111762,0.0106556417354344
34,8,10.194768575128,0.098622269046239,0.00691078045844553,0.0102951456800675
34,9,9.18008374921401,0.10147085945204,0.00688945603233648,0.00782982139034264
34,2,9.6857783255088,0.100836792909078,0.0076209570427134,0.0111852544208188
34,3,10.4692330399734,0.0956866477195736,0.0070987324776964,0.0101311568575815
34,4,10.1290862450628,0.0908445298892303,0.00743319374845661,0.0105531766431142
34,5,9.30843448385347,0.0956334618138167,0.00789284104068988,0.0126103171095217
34,6,10.4094826874973,0.0976947090262457,0.00690973922130713,0.0107350525560897
34,7,7.18905024287358,0.198959399907288,0.00852622713460745,0.00953510899838279
35,8,2.44647470152443,0.00701036234849058,0.063941211611474,0.00676195376631759
35,9,2.66516677722127,0.00675549067854081,0.0619558058191205,0.00682215698310034
35,1,2.6967820976721,0.0067439660927656,0.0582940705651556,0.00770507837463325
35,2,2.82376829288234,0.00675884249519973,0.0584724674381146,0.00675460179608932
35,3,2.59410787511436,0.0209111057293651,0.0610560732500814,0.00676256624463181
35,4,2.58822559662071,0.00674455356832863,0.063550113252949,0.00742851485722848
35,5,2.6807753034159,0.00677419881590691,0.0611207337075812,0.0067663396256174
35,6,2.69299269019734,0.00674324775635397,0.0628326250248412,0.0173923763340087
35,7,2.47234771804725,0.00680871499330134,0.0642051756569598,0.0149751290378496
36,1,10.9865597650373,0.00899625429629084,0.00679794170285951,0.00798391914762087
36,2,7.43068813684321,0.174895900363537,0.00717995460656381,0.00714300689896755
36,3,10.6918776511788,0.00682857720236077,0.00693666344196858,0.00723894330071919
36,4,10.9856320227561,0.00962915101695717,0.00677212342995388,0.00828022816370632
36,5,10.8003695131019,0.00788191001005388,0.0067705461505492,0.0071782650185251
36,6,9.88069780758633,0.00703981857879513,0.00734794084002436,0.0068560222601227
36,7,10.8211318684607,0.00927167323954176,0.00680362477090442,0.00890510127771037
36,8,10.8078267684379,0.00708414910772353,0.00678466489397642,0.00730682026510497
36,9,9.2932983620836,0.00764690020852056,0.00715550128461832,0.00680838342919447
37,4,3.79698875913888,0.00675886637879212,0.039163806161657,0.108849844103331
37,1,3.86455549755061,0.00691578663798346,0.0374720302619199,0.0990073856546059
37,2,3.47029666183926,0.00674903811290982,0.0413634117866925,0.12084885495857
37,3,3.34889854326607,0.00674838988930186,0.0441205565162422,0.131209178672443
37,8,4.29179575463329,0.00676838555055564,0.0334265807861211,0.0924182078825465
37,5,3.54747666315918,0.00676943625111646,0.0430484133633304,0.123816904533687
37,6,3.50721350830576,0.00674334719672966,0.0409432077319015,0.116918239960227
37,7,3.50205880293591,0.00674759108226106,0.04353439600823,0.122343826019817
37,9,6.23778652342793,0.0841444649787333,0.009420996933156,0.0179891685006508
38,2,3.12206988952371,0.106226159206037,0.0157849796222111,0.0256983852531886
38,3,0.00675900128851806,0.0935917489684046,0.0175690978673821,0.0512982770454921
38,4,0.00684757743739598,0.0954884978470743,0.0174942880080069,0.0565267275614596
38,5,0.00677613060815772,0.0912936105039622,0.0183685390574364,0.0552444660038902
38,1,0.00717443421461181,0.102700644576466,0.0157685607439827,0.0501194756411525
38,8,5.14276278185114,0.120824384814679,0.00767926003738154,0.00806871794117163
38,9,3.06171073707237,0.104907444397611,0.0155445378094502,0.0239961664011707
38,7,0.00783763359051835,0.0951058103070003,0.0175233195346806,0.0554090956866038
38,6,0.00688126103163826,0.0942633597772862,0.0183328805774739,0.0578702770675288
39,1,9.187048663722,0.0076283056917319,0.00679217641605502,0.00735039236275982
39,2,8.89828918453519,0.00729272423109976,0.00680269194756728,0.00763651309444815
39,4,8.40852759157174,0.00956109766031973,0.00675268746090488,0.00680086389094459
39,5,8.9845058430171,0.00734916777909261,0.00679428611283094,0.0077292131653581
39,3,8.99844089023913,0.00796279713755403,0.00702792608313652,0.00723434299874609
39,6,8.97612155433832,0.00691527088168713,0.00677708500063136,0.00815201836067514
39,7,8.93196206046061,0.00769811804168682,0.00683474471261895,0.00674705626935975
39,8,7.45853374598914,0.090613051087106,0.0068083370828535,0.00712081968187976
39,9,8.59812502296059,0.00724721511688971,0.00677803109598355,0.00681259030255737
40,2,4.00643206126273,0.177639350128327,0.0254660336287833,0.05404844649785
40,3,3.16647733196681,0.159744991207013,0.0299884395548218,0.0648927058024905
40,4,4.02375997016353,0.188376719569864,0.0247459914265106,0.0555447289383312
40,5,4.05270346377919,0.171243902117476,0.0269998660049187,0.058987143273441
40,1,5.28149660904221,0.190675840274967,0.016024774339708,0.0344367077576003
40,8,4.03372876611115,0.181436469608438,0.0248444246100898,0.0538376358201198
40,6,3.93871455185235,0.175698344966622,0.026394225599112,0.059063296122392
40,7,0.0107329870296654,0.147155793939863,0.045233440864787,0.159927084096051
40,9,7.3843512575471,0.198529007431216,0.00695441436390922,0.0133541157552881
41,1,5.81314321883026,0.210616437542692,0.00745826728082517,0.0088966049789705
41,2,6.48533329033609,0.212183161494142,0.00712765947352012,0.00858711864930019
41,3,5.60534575695254,0.212027635367813,0.00707897578244171,0.00752636057763616
41,4,6.9881353193994,0.202603020347948,0.00752355502354731,0.0101390095826441
41,8,7.03834644512594,0.203773755131457,0.00678197591571892,0.00696825559117668
41,6,6.73334592439496,0.178044237663963,0.00784574274138617,0.00745953714955227
41,7,5.90489893030537,0.244417863163016,0.00679310026789902,0.00888044998938589
41,9,6.3958790252671,0.211312903508308,0.00677456160651031,0.00701234527891522
41,5,6.25855906727111,0.221075897139417,0.00694013164404333,0.00894118723099033
42,1,12.0223753939341,0.00683908996247657,0.008067135953243,0.0177058879591035
42,2,7.87491368795938,0.00678930491245777,0.0150418772137986,0.0318504062924786
